100.0,74.0,0.007327775910352122,0.24,1261.0,ch to bs
38.0,24.0,0.0002944601061187057,0.96,1206.0,ch to bs
42.0,67.0,3.51983491129318e-05,0.62,1220.0,data cm to ch
45.0,68.0,0.0028453237821526793,0.65,1122.0,merge pkt 
100.0,10.0,0.009073004718678725,0.35,1248.0,ch to bs
83.0,72.0,0.004519858544081377,0.47,1037.0,ch to bs
98.0,95.0,0.007030021213669863,0.36,1175.0,ch to bs
87.0,90.0,0.03597111301501516,0.13,1205.0,cm send optimize
94.0,28.0,0.0017362492503736541,0.44,1189.0,ch to bs
95.0,5.0,0.0046226855743009675,0.25,1300.0,ch to bs
100.0,70.0,0.0069038489616499174,0.37,1051.0,ch to bs
94.0,100.0,0.0034248432269717234,0.28,1097.0,ch to bs
92.0,49.0,0.0023628083680409958,0.46,1139.0,ch to bs
27.0,56.0,2.21868454714805e-05,0.51,1172.0,ch recive out of energy 
37.0,39.0,7.099204736055643e-06,0.74,1154.0,data cm to ch
92.0,92.0,0.007438880803635805,0.25,1226.0,ch to bs
100.0,33.0,0.005038182820355952,0.32,1321.0,ch to bs
28.0,46.0,0.0032921866024729464,0.5,1296.0,merge pkt 
37.0,50.0,0.0021408797821050496,0.71,1139.0,merge pkt 
100.0,27.0,0.004610630180365442,0.37,1200.0,ch to bs
99.0,71.0,0.0040278375010069775,0.18,1296.0,ch to bs
95.0,93.0,0.0048034286020069775,0.37,1263.0,ch to bs
89.0,100.0,0.003807562351969562,0.46,1098.0,ch to bs
21.0,42.0,0.00017597267304389987,0.81,1173.0,data cm to ch
100.0,19.0,0.0077759708353222845,0.28,1147.0,ch to bs
88.0,32.0,7.485381271984151e-05,0.33,1309.0,data cm to ch
96.0,96.0,0.00013661705369037727,0.26,1305.0,data cm to ch
94.0,10.0,0.002331551261957824,0.51,1049.0,ch to bs
93.0,9.0,0.007783250085619704,0.21,1127.0,ch to bs
100.0,75.0,0.00852104057433862,0.25,1291.0,ch to bs
100.0,88.0,0.006929316491984036,0.2,1263.0,ch to bs
30.0,58.0,0.00011410626806460713,0.33,1297.0,data cm to ch
96.0,4.0,0.0054409371186504175,0.2,1114.0,ch to bs
100.0,4.0,0.009408619736975259,0.29,1207.0,ch to bs
42.0,50.0,7.912637780313669e-06,0.38,1228.0,cch anno,cch recive each,cch anno,cch anno,cch anno,cch anno,cch anno,cch anno,cch recive each,cch recive each,cch recive each,cch recive each,cch recive each
95.0,47.0,7.826507499190388e-05,0.43,1167.0,data cm to ch
100.0,45.0,0.005523395799687561,0.22,1319.0,ch to bs
98.0,30.0,0.005569305722063425,0.25,1333.0,ch to bs
65.0,7.0,0.36761038315905525,0.28,1128.0,cm send optimize
45.0,45.0,0.04733172088073008,0.26,1824.0,cm send optimize
90.0,0.0,0.007475336025000424,0.26,1086.0,ch to bs
30.0,55.0,0.003159480440521025,0.66,1173.0,merge pkt 
93.0,94.0,0.0049514563679738215,0.11,1156.0,ch to bs
97.0,98.0,0.0029064218443317805,0.21,1404.0,ch to bs
97.0,1.0,0.008059098799633502,0.35,1077.0,ch to bs
98.0,35.0,0.0031533088386773074,0.38,1343.0,ch to bs
86.0,70.0,0.09382871977180403,0.23,1269.0,cm send optimize
93.0,45.0,8.773148353797594e-06,0.27,1175.0,cch recive each,cch recive each,cch recive each
33.0,34.0,0.00016010103230250676,0.64,1054.0,data cm to ch
100.0,36.0,0.002153678288670615,0.35,1208.0,ch to bs
