19,24,1
52,30,1
7,68,1
86,12,1
89,75,1
69,22,1
13,52,1
100,91,1
75,39,1
92,79,1
79,35,1
82,12,1
28,46,1
29,25,1
62,99,1
99,16,1
85,51,1
28,4,1
60,42,1
15,62,1
18,84,1
85,46,1
21,45,1
100,25,1
78,17,1
57,70,1
46,61,1
15,49,1
33,16,1
41,53,1
63,24,1
45,31,1
74,28,1
55,62,1
91,88,1
98,19,1
0,48,1
87,29,1
79,24,1
24,15,1
86,74,1
41,51,1
37,94,1
22,49,1
82,70,1
57,100,1
65,45,1
47,71,1
56,16,1
60,61,1
83,71,1
99,93,1
29,38,1
43,60,1
57,91,1
1,15,1
23,37,1
56,81,1
32,99,1
72,52,1
38,74,1
51,14,1
33,1,1
5,48,1
100,94,1
47,69,1
100,43,1
82,14,1
23,82,1
37,14,1
43,50,1
0,44,1
13,26,1
19,9,1
66,8,1
40,19,1
70,34,1
44,40,1
34,68,1
64,82,1
10,34,1
97,90,1
7,49,1
98,5,1
45,88,1
39,29,1
47,96,1
52,48,1
77,93,1
91,0,1
15,88,1
3,74,1
24,77,1
45,98,1
23,76,1
40,6,1
26,16,1
41,85,1
17,12,1
2,48,1
56,55,1
22,38,1
76,91,1
35,18,1
88,5,1
47,79,1
10,1,1
28,30,1
78,3,1
72,94,1
8,88,1
20,73,1
69,31,1
99,30,1
21,38,1
34,51,1
9,11,1
13,81,1
13,9,1
11,37,1
57,7,1
69,27,1
43,91,1
37,34,1
22,72,1
