51,60,2,0.1,8,1
48,9,2,0.1,8,2
25,1,2,0.1,2,3
1,100,2,0.1,6,4
95,22,2,0.1,2,5
53,35,2,0.1,3,6
8,65,2,0.1,10,7
54,30,2,0.1,16,8
16,89,2,0.1,7,9
83,54,2,0.1,5,10
86,47,2,0.1,9,11
93,97,2,0.1,18,12
50,11,2,0.1,10,13
17,57,2,0.1,10,14
59,48,2,0.1,15,15
54,48,2,0.1,13,16
14,38,2,0.1,16,17
44,41,2,0.1,18,18
28,75,2,0.1,1,19
43,26,2,0.1,9,20
46,0,2,0.1,5,21
0,88,2,0.1,7,22
94,89,2,0.1,2,23
35,21,2,0.1,10,24
53,96,2,0.1,18,25
11,6,2,0.1,3,26
96,86,2,0.1,5,27
60,66,2,0.1,17,28
94,95,2,0.1,14,29
98,21,2,0.1,6,30
73,30,2,0.1,17,31
100,2,2,0.1,3,32
10,33,2,0.1,1,33
65,4,2,0.1,2,34
66,71,2,0.1,2,35
71,29,2,0.1,8,36
14,91,2,0.1,4,37
83,99,2,0.1,15,38
64,5,2,0.1,17,39
63,92,2,0.1,11,40
53,62,2,0.1,15,41
1,12,2,0.1,11,42
28,75,2,0.1,4,43
8,66,2,0.1,12,44
72,36,2,0.1,4,45
47,41,2,0.1,13,46
36,67,2,0.1,4,47
61,57,2,0.1,2,48
23,70,2,0.1,4,49
71,21,2,0.1,2,50
2,11,2,0.1,9,51
65,92,2,0.1,8,52
60,48,2,0.1,2,53
40,33,2,0.1,3,54
48,42,2,0.1,18,55
58,16,2,0.1,6,56
96,51,2,0.1,13,57
66,2,2,0.1,8,58
9,27,2,0.1,10,59
99,24,2,0.1,3,60
53,20,2,0.1,16,61
21,88,2,0.1,12,62
67,44,2,0.1,18,63
26,30,2,0.1,14,64
12,50,2,0.1,13,65
11,16,2,0.1,19,66
59,96,2,0.1,19,67
94,74,2,0.1,9,68
74,45,2,0.1,15,69
94,98,2,0.1,1,70
78,29,2,0.1,5,71
61,21,2,0.1,2,72
6,56,2,0.1,7,73
75,92,2,0.1,15,74
31,34,2,0.1,9,75
87,33,2,0.1,18,76
69,20,2,0.1,12,77
93,22,2,0.1,10,78
77,68,2,0.1,12,79
97,95,2,0.1,12,80
56,33,2,0.1,17,81
14,34,2,0.1,16,82
41,65,2,0.1,11,83
29,95,2,0.1,2,84
13,26,2,0.1,16,85
57,57,2,0.1,17,86
52,54,2,0.1,8,87
13,55,2,0.1,10,88
29,63,2,0.1,14,89
82,53,2,0.1,4,90
66,42,2,0.1,1,91
5,97,2,0.1,8,92
8,70,2,0.1,12,93
95,24,2,0.1,6,94
83,11,2,0.1,4,95
31,90,2,0.1,6,96
49,55,2,0.1,2,97
59,57,2,0.1,4,98
49,92,2,0.1,7,99
56,84,2,0.1,18,100
59,72,2,0.1,7,101
5,13,2,0.1,10,102
83,9,2,0.1,16,103
15,55,2,0.1,17,104
70,46,2,0.1,3,105
54,71,2,0.1,10,106
95,9,2,0.1,11,107
58,48,2,0.1,17,108
97,72,2,0.1,13,109
62,15,2,0.1,10,110
97,8,2,0.1,14,111
19,76,2,0.1,9,112
7,10,2,0.1,5,113
78,2,2,0.1,9,114
9,88,2,0.1,6,115
33,24,2,0.1,11,116
88,71,2,0.1,10,117
63,77,2,0.1,17,118
71,55,2,0.1,9,119
83,77,2,0.1,3,120
1,77,2,0.1,18,121
15,71,2,0.1,19,122
87,73,2,0.1,5,123
27,22,2,0.1,3,124
51,41,2,0.1,12,125
