90,8,1,0.3
0,95,1,0.3
17,85,1,0.3
6,84,1,0.3
45,68,1,0.3
39,78,1,0.3
11,46,1,0.3
11,57,1,0.3
20,4,1,0.3
87,38,1,0.3
72,87,1,0.3
39,76,1,0.3
46,38,1,0.3
76,37,1,0.3
44,1,1,0.3
60,21,1,0.3
69,35,1,0.3
25,45,1,0.3
82,22,1,0.3
69,45,1,0.3
92,69,1,0.3
34,48,1,0.3
55,99,1,0.3
8,81,1,0.3
64,20,1,0.3
53,21,1,0.3
87,75,1,0.3
38,0,1,0.3
32,94,1,0.3
60,10,1,0.3
93,93,1,0.3
8,37,1,0.3
22,4,1,0.3
80,61,1,0.3
95,44,1,0.3
26,51,1,0.3
45,2,1,0.3
66,20,1,0.3
65,12,1,0.3
96,42,1,0.3
80,72,1,0.3
0,99,1,0.3
95,93,1,0.3
99,97,1,0.3
41,0,1,0.3
34,38,1,0.3
15,1,1,0.3
42,59,1,0.3
36,74,1,0.3
70,36,1,0.3
0,87,1,0.3
97,86,1,0.3
0,17,1,0.3
12,60,1,0.3
31,66,1,0.3
32,65,1,0.3
65,21,1,0.3
85,85,1,0.3
35,67,1,0.3
2,73,1,0.3
87,66,1,0.3
9,75,1,0.3
19,48,1,0.3
42,94,1,0.3
42,79,1,0.3
79,85,1,0.3
19,7,1,0.3
60,56,1,0.3
72,26,1,0.3
5,65,1,0.3
46,7,1,0.3
7,51,1,0.3
56,12,1,0.3
3,57,1,0.3
45,89,1,0.3
100,78,1,0.3
63,6,1,0.3
72,50,1,0.3
99,14,1,0.3
23,96,1,0.3
22,66,1,0.3
33,83,1,0.3
10,62,1,0.3
57,35,1,0.3
12,94,1,0.3
12,72,1,0.3
82,63,1,0.3
25,49,1,0.3
88,89,1,0.3
75,81,1,0.3
15,16,1,0.3
59,26,1,0.3
89,32,1,0.3
28,7,1,0.3
26,82,1,0.3
28,53,1,0.3
70,20,1,0.3
58,19,1,0.3
45,52,1,0.3
55,13,1,0.3
22,37,1,0.3
71,24,1,0.3
37,85,1,0.3
89,36,1,0.3
0,64,1,0.3
65,46,1,0.3
51,51,1,0.3
99,53,1,0.3
16,99,1,0.3
53,29,1,0.3
27,97,1,0.3
72,42,1,0.3
56,66,1,0.3
31,37,1,0.3
43,16,1,0.3
39,41,1,0.3
74,32,1,0.3
73,51,1,0.3
55,85,1,0.3
30,19,1,0.3
72,72,1,0.3
6,34,1,0.3
57,66,1,0.3
46,40,1,0.3
31,1,1,0.3
